"stakeholder","name","topic","total_topic","total_sent","prop"
"advocates","Africa Open Science and Hardware","1",2,9,0.2222222222222222
"advocates","Africa Open Science and Hardware","2",NA,NA,0
"advocates","Africa Open Science and Hardware","3",6,9,0.6666666666666666
"advocates","Africa Open Science and Hardware","4",1,9,0.1111111111111111
"advocates","Amelica","1",NA,NA,0
"advocates","Amelica","2",11,13,0.8461538461538461
"advocates","Amelica","3",1,13,0.07692307692307693
"advocates","Amelica","4",1,13,0.07692307692307693
"advocates","Bioline International","1",NA,NA,0
"advocates","Bioline International","2",2,11,0.18181818181818182
"advocates","Bioline International","3",9,11,0.8181818181818182
"advocates","Bioline International","4",NA,NA,0
"advocates","Center for Open Science","1",2,17,0.11764705882352941
"advocates","Center for Open Science","2",8,17,0.47058823529411764
"advocates","Center for Open Science","3",4,17,0.23529411764705882
"advocates","Center for Open Science","4",3,17,0.17647058823529413
"advocates","coalitionS","1",NA,NA,0
"advocates","coalitionS","2",NA,NA,0
"advocates","coalitionS","3",NA,NA,0
"advocates","coalitionS","4",4,4,1
"advocates","CoData","1",5,5,1
"advocates","CoData","2",NA,NA,0
"advocates","CoData","3",NA,NA,0
"advocates","CoData","4",NA,NA,0
"advocates","Coko","1",3,13,0.23076923076923078
"advocates","Coko","2",2,13,0.15384615384615385
"advocates","Coko","3",6,13,0.46153846153846156
"advocates","Coko","4",2,13,0.15384615384615385
"advocates","COPDESS","1",NA,NA,0
"advocates","COPDESS","2",4,4,1
"advocates","COPDESS","3",NA,NA,0
"advocates","COPDESS","4",NA,NA,0
"advocates","DataCite","1",1,12,0.08333333333333333
"advocates","DataCite","2",1,12,0.08333333333333333
"advocates","DataCite","3",NA,NA,0
"advocates","DataCite","4",10,12,0.8333333333333334
"advocates","DOAJ","1",NA,NA,0
"advocates","DOAJ","2",NA,NA,0
"advocates","DOAJ","3",5,5,1
"advocates","DOAJ","4",NA,NA,0
"advocates","FAIRsharing","1",3,25,0.12
"advocates","FAIRsharing","2",19,25,0.76
"advocates","FAIRsharing","3",2,25,0.08
"advocates","FAIRsharing","4",1,25,0.04
"advocates","FORCE11","1",NA,NA,0
"advocates","FORCE11","2",1,16,0.0625
"advocates","FORCE11","3",12,16,0.75
"advocates","FORCE11","4",3,16,0.1875
"advocates","FOSTER","1",1,19,0.05263157894736842
"advocates","FOSTER","2",2,19,0.10526315789473684
"advocates","FOSTER","3",15,19,0.7894736842105263
"advocates","FOSTER","4",1,19,0.05263157894736842
"advocates","Free our knowledge","1",10,13,0.7692307692307693
"advocates","Free our knowledge","2",NA,NA,0
"advocates","Free our knowledge","3",3,13,0.23076923076923078
"advocates","Free our knowledge","4",NA,NA,0
"advocates","Gitlab","1",NA,NA,0
"advocates","Gitlab","2",4,26,0.15384615384615385
"advocates","Gitlab","3",11,26,0.4230769230769231
"advocates","Gitlab","4",11,26,0.4230769230769231
"advocates","Jisc","1",NA,NA,0
"advocates","Jisc","2",NA,NA,0
"advocates","Jisc","3",NA,NA,0
"advocates","Jisc","4",2,2,1
"advocates","Open Access Australasia","1",1,18,0.05555555555555555
"advocates","Open Access Australasia","2",1,18,0.05555555555555555
"advocates","Open Access Australasia","3",2,18,0.1111111111111111
"advocates","Open Access Australasia","4",14,18,0.7777777777777778
"advocates","Peer Community In","1",1,36,0.027777777777777776
"advocates","Peer Community In","2",14,36,0.3888888888888889
"advocates","Peer Community In","3",20,36,0.5555555555555556
"advocates","Peer Community In","4",1,36,0.027777777777777776
"advocates","RDA","1",2,12,0.16666666666666666
"advocates","RDA","2",3,12,0.25
"advocates","RDA","3",6,12,0.5
"advocates","RDA","4",1,12,0.08333333333333333
"advocates","Reference Center for Environmental Information","1",1,2,0.5
"advocates","Reference Center for Environmental Information","2",NA,NA,0
"advocates","Reference Center for Environmental Information","3",1,2,0.5
"advocates","Reference Center for Environmental Information","4",NA,NA,0
"advocates","Research Data Canada","1",4,8,0.5
"advocates","Research Data Canada","2",2,8,0.25
"advocates","Research Data Canada","3",2,8,0.25
"advocates","Research Data Canada","4",NA,NA,0
"advocates","Research4life","1",NA,NA,0
"advocates","Research4life","2",NA,NA,0
"advocates","Research4life","3",5,5,1
"advocates","Research4life","4",NA,NA,0
"advocates","ROpenSci","1",1,1,1
"advocates","ROpenSci","2",NA,NA,0
"advocates","ROpenSci","3",NA,NA,0
"advocates","ROpenSci","4",NA,NA,0
"advocates","SPARC","1",2,11,0.18181818181818182
"advocates","SPARC","2",2,11,0.18181818181818182
"advocates","SPARC","3",2,11,0.18181818181818182
"advocates","SPARC","4",5,11,0.45454545454545453
"funders","Alexander von Humboldt Foundation","1",13,19,0.6842105263157895
"funders","Alexander von Humboldt Foundation","2",1,19,0.05263157894736842
"funders","Alexander von Humboldt Foundation","3",4,19,0.21052631578947367
"funders","Alexander von Humboldt Foundation","4",1,19,0.05263157894736842
"funders","Australian Research Council","1",1,14,0.07142857142857142
"funders","Australian Research Council","2",5,14,0.35714285714285715
"funders","Australian Research Council","3",7,14,0.5
"funders","Australian Research Council","4",1,14,0.07142857142857142
"funders","Chinese Academy of Sciences","1",1,2,0.5
"funders","Chinese Academy of Sciences","2",1,2,0.5
"funders","Chinese Academy of Sciences","3",NA,NA,0
"funders","Chinese Academy of Sciences","4",NA,NA,0
"funders","CNPq","1",NA,NA,0
"funders","CNPq","2",1,2,0.5
"funders","CNPq","3",NA,NA,0
"funders","CNPq","4",1,2,0.5
"funders","Conacyt","1",1,4,0.25
"funders","Conacyt","2",1,4,0.25
"funders","Conacyt","3",1,4,0.25
"funders","Conacyt","4",1,4,0.25
"funders","CONICYT","1",2,3,0.6666666666666666
"funders","CONICYT","2",1,3,0.3333333333333333
"funders","CONICYT","3",NA,NA,0
"funders","CONICYT","4",NA,NA,0
"funders","Consortium of African Funds for the Environment","1",NA,NA,0
"funders","Consortium of African Funds for the Environment","2",NA,NA,0
"funders","Consortium of African Funds for the Environment","3",4,4,1
"funders","Consortium of African Funds for the Environment","4",NA,NA,0
"funders","Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior","1",NA,NA,0
"funders","Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior","2",NA,NA,0
"funders","Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior","3",5,6,0.8333333333333334
"funders","Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior","4",1,6,0.16666666666666666
"funders","CSIR South Africa","1",NA,NA,0
"funders","CSIR South Africa","2",4,8,0.5
"funders","CSIR South Africa","3",1,8,0.125
"funders","CSIR South Africa","4",3,8,0.375
"funders","Deutsche Forschungsgemeinschaft","1",2,25,0.08
"funders","Deutsche Forschungsgemeinschaft","2",6,25,0.24
"funders","Deutsche Forschungsgemeinschaft","3",9,25,0.36
"funders","Deutsche Forschungsgemeinschaft","4",8,25,0.32
"funders","ERC","1",1,20,0.05
"funders","ERC","2",5,20,0.25
"funders","ERC","3",11,20,0.55
"funders","ERC","4",3,20,0.15
"funders","FORMAS","1",NA,NA,0
"funders","FORMAS","2",19,29,0.6551724137931034
"funders","FORMAS","3",2,29,0.06896551724137931
"funders","FORMAS","4",8,29,0.27586206896551724
"funders","French National Centre for Scientific Research","1",2,25,0.08
"funders","French National Centre for Scientific Research","2",12,25,0.48
"funders","French National Centre for Scientific Research","3",3,25,0.12
"funders","French National Centre for Scientific Research","4",8,25,0.32
"funders","Helmholtz-Gemeinschaft","1",1,25,0.04
"funders","Helmholtz-Gemeinschaft","2",5,25,0.2
"funders","Helmholtz-Gemeinschaft","3",5,25,0.2
"funders","Helmholtz-Gemeinschaft","4",14,25,0.56
"funders","JST","1",NA,NA,0
"funders","JST","2",9,10,0.9
"funders","JST","3",1,10,0.1
"funders","JST","4",NA,NA,0
"funders","Max Planck Society","1",5,81,0.06172839506172839
"funders","Max Planck Society","2",32,81,0.3950617283950617
"funders","Max Planck Society","3",31,81,0.38271604938271603
"funders","Max Planck Society","4",13,81,0.16049382716049382
"funders","MOE China","1",NA,NA,0
"funders","MOE China","2",4,21,0.19047619047619047
"funders","MOE China","3",16,21,0.7619047619047619
"funders","MOE China","4",1,21,0.047619047619047616
"funders","National Natural Science Foundation","1",1,35,0.02857142857142857
"funders","National Natural Science Foundation","2",16,35,0.45714285714285713
