present_in_dict,word,present_BUS,present_UNESCO,present_book,sum
1,deer,0,0,1,1
1,preserve,0,0,1,1
1,duck,0,0,1,1
1,slaughter,0,0,1,1
1,mountain,0,0,1,1
1,sportsman,0,0,1,1
1,find,0,0,1,1
1,elk,0,0,1,1
1,grouse,0,0,1,1
1,forest,0,0,1,1
1,breed,0,0,1,1
1,sheep,0,0,1,1
1,quail,0,0,1,1
1,bison,0,0,1,1
1,exterminate,0,0,1,1
1,feather,0,0,1,1
1,hunter,0,0,1,1
1,hundred,0,0,1,1
1,antelope,0,0,1,1
1,extermination,0,0,1,1
1,extinct,0,0,1,1
1,eat,0,0,1,1
1,illustration,0,0,1,1
1,warden,0,0,1,1
1,cent,0,0,1,1
1,pigeon,0,0,1,1
1,northern,0,0,1,1
1,winter,0,0,1,1
1,california,0,0,1,1
1,plume,0,0,1,1
1,destroy,0,0,1,1
1,egret,0,0,1,1
1,insect,0,0,1,1
1,county,0,0,1,1
1,zoological,0,0,1,1
1,spring,0,0,1,1
1,native,0,0,1,1
1,shore,0,0,1,1
1,moose,0,0,1,1
1,plover,0,0,1,1
1,montana,0,0,1,1
1,prohibit,0,0,1,1
1,lake,0,0,1,1
1,gunner,0,0,1,1
1,fish,0,0,1,1
1,mammal,0,0,1,1
1,matter,0,0,1,1
1,reason,0,0,1,1
1,southern,0,0,1,1
1,bond,1,0,0,1
1,robin,0,0,1,1
1,horn,0,0,1,1
1,show,0,0,1,1
1,pheasant,0,0,1,1
1,acre,0,0,1,1
1,specimen,0,0,1,1
1,carolina,0,0,1,1
1,song,0,0,1,1
1,crane,0,0,1,1
1,rabbit,0,0,1,1
1,friend,0,0,1,1
1,fox,0,0,1,1
1,louisiana,0,0,1,1
1,pennsylvania,0,0,1,1
1,enact,0,0,1,1
1,grizzly,0,0,1,1
1,squirrel,0,0,1,1
1,woodpecker,0,0,1,1
1,dr,0,0,1,1
1,heron,0,0,1,1
1,massachusetts,0,0,1,1
1,the,0,0,1,1
1,woodcock,0,0,1,1
1,caribou,0,0,1,1
1,extinction,0,0,1,1
1,hear,0,0,1,1
1,reach,0,0,1,1
1,goose,0,0,1,1
1,alaska,0,0,1,1
1,fauna,0,0,1,1
1,army,0,0,1,1
1,columbia,0,0,1,1
1,cotton,0,0,1,1
1,curlew,0,0,1,1
1,rifle,0,0,1,1
1,wyoming,0,0,1,1
1,mortgage,1,0,0,1
1,remnant,0,0,1,1
1,storey,0,0,1,1
1,wolf,0,0,1,1
1,boy,0,0,1,1
1,coast,0,0,1,1
1,fowl,0,0,1,1
1,italian,0,0,1,1
1,turkey,0,0,1,1
1,flock,0,0,1,1
1,upland,0,0,1,1
1,absolutely,0,0,1,1
1,beautiful,0,0,1,1
1,crop,0,0,1,1
1,goat,0,0,1,1
1,creature,0,0,1,1
1,ruff,0,0,1,1
1,easily,0,0,1,1
1,fly,0,0,1,1
1,prairie,0,0,1,1
1,yellowstone,0,0,1,1
1,colony,0,0,1,1
1,paradise,0,0,1,1
1,province,0,0,1,1
1,bayne,0,0,1,1
1,history,0,0,1,1
1,sandpiper,0,0,1,1
1,congress,0,0,1,1
1,enemy,0,0,1,1
1,lie,0,0,1,1
1,plumage,0,0,1,1
1,situation,0,0,1,1
1,washington,0,0,1,1
1,worm,0,0,1,1
1,hog,0,0,1,1
1,locality,0,0,1,1
1,portion,0,0,1,1
1,sport,0,0,1,1
1,totally,0,0,1,1
1,wing,0,0,1,1
1,disappear,0,0,1,1
1,impossible,0,0,1,1
1,secure,0,0,1,1
1,deadly,0,0,1,1
1,desire,0,0,1,1
1,conservation,0,0,1,1
1,destroyer,0,0,1,1
1,easy,0,0,1,1
1,minnesota,0,0,1,1
1,camp,0,0,1,1
1,dove,0,0,1,1
1,female,0,0,1,1
1,hen,0,0,1,1
1,negro,0,0,1,1
1,weevil,0,0,1,1
1,blood,0,0,1,1
1,legislature,0,0,1,1
1,sage,0,0,1,1
1,annually,0,0,1,1
1,jersey,0,0,1,1
1,numerous,0,0,1,1
1,owl,0,0,1,1
1,president,0,0,1,1
1,single,0,0,1,1
1,sparrow,0,0,1,1
1,refuge,0,0,1,1
1,valley,0,0,1,1
1,alive,0,0,1,1
1,audubon,0,0,1,1
1,cold,0,0,1,1
1,rocky,0,0,1,1
1,wrong,0,0,1,1
1,chicken,0,0,1,1
1,earnings,1,0,0,1
1,buffalo,0,0,1,1
1,continent,0,0,1,1
1,fur,0,0,1,1
1,mind,0,0,1,1
1,practically,0,0,1,1
1,alberta,0,0,1,1
1,economics,1,0,0,1
1,existence,0,0,1,1
1,feel,0,0,1,1
1,grand,0,0,1,1
1,grass,0,0,1,1
1,iowa,0,0,1,1
1,meat,0,0,1,1
